name_graph,num_vertices,num_arestas,clique_size,solution_colors,
DSJC1000.1.col,1000,49629,1,29,
DSJC1000.5.col,1000,249826,1,118,
DSJC1000.9.col,1000,449449,1,276,
DSJC125.1.col,125,736,1,7,
DSJC125.5.col,125,3891,1,23,
DSJC125.9.col,125,6961,1,40,
DSJC250.1.col,250,3218,1,11,
DSJC250.5.col,250,15668,1,38,
DSJC250.9.col,250,27897,1,77,
DSJC500.1.col,500,12458,1,17,
DSJC500.5.col,500,62624,1,67,
DSJC500.9.col,500,112437,1,150,
DSJR500.1.col,500,3555,1,10,
DSJR500.1c.col,500,121275,1,119,
DSJR500.5.col,500,58862,1,83,
fpsol2.i.1.col,496,11654,1,10,
fpsol2.i.2.col,451,8691,1,13,
fpsol2.i.3.col,425,8688,1,12,
inithx.i.1.col,864,18707,1,9,
inithx.i.2.col,645,13979,1,12,
inithx.i.3.col,621,13969,1,12,
mulsol.i.1.col,197,3925,1,7,
mulsol.i.2.col,188,3885,1,11,
mulsol.i.3.col,184,3916,1,11,
mulsol.i.4.col,185,3946,1,11,
mulsol.i.5.col,186,3973,1,11,
zeroin.i.1.col,211,4100,1,9,
zeroin.i.2.col,211,3541,1,12,
zeroin.i.3.col,206,3540,1,12,
latin_square_10.col,900,307350,1,1,
le450_15a.col,450,8168,1,17,
le450_15b.col,450,8169,1,17,
le450_15b.col.txt,450,8169,1,17,
le450_15c.col,450,16680,1,25,
le450_15d.col,450,16750,1,26,
le450_25a.col,450,8260,1,21,
le450_25b.col,450,8263,1,17,
le450_25c.col,450,17343,1,29,
le450_25d.col,450,17425,1,28,
le450_5a.col,450,5714,1,11,
le450_5b.col,450,5734,1,12,
le450_5c.col,450,9803,1,17,
le450_5d.col,450,9757,1,16,
school1.col,385,19095,1,33,
school1_nsh.col,352,14612,1,29,
queen5_5.col,25,320,5,7,
myciel3.col,11,20,1,2,
myciel4.col,23,71,1,3,
mug100_1.col,100,166,1,2,
mug100_25.col,100,166,1,2,
mug88_1.col,88,146,1,3,
mug88_25.col,88,146,1,3,
1-FullIns_3.col,30,100,1,4,
1-FullIns_4.col,93,593,1,5,
1-FullIns_5.col,282,3247,1,7,
1-Insertions_4.col,67,232,1,3,
1-Insertions_5.col,202,1227,1,5,
1-Insertions_6.col,607,6337,1,6,
2-FullIns_3.col,52,201,1,4,
2-FullIns_4.col,212,1621,1,6,
2-FullIns_5.col,852,12201,1,6,
2-Insertions_3.col,37,72,1,2,
2-Insertions_4.col,149,541,1,4,
2-Insertions_5.col,597,3936,1,4,
3-FullIns_3.col,80,346,1,4,
3-FullIns_4.col,405,3524,1,6,
3-FullIns_5.col,2030,33751,1,7,
3-Insertions_3.col,56,110,1,2,
3-Insertions_4.col,281,1046,1,4,
3-Insertions_5.col,1406,9695,1,6,
4-FullIns_3.col,114,541,1,4,
4-FullIns_4.col,690,6650,1,6,
4-FullIns_5.col,4146,77305,1,8,
4-Insertions_3.col,79,156,1,2,
4-Insertions_4.col,475,1795,1,4,
5-FullIns_3.col,154,792,1,4,
5-FullIns_4.col,1085,11395,1,7,
flat300_28_0.col,300,21695,1,42,
flat1000_76_0.col,1000,246708,1,119,
flat1000_60_0.col,1000,245830,1,118,
flat1000_50_0.col,1000,245000,1,121,
r250.1c.col,250,30227,1,65,
r250.5.col,250,14849,1,38,
r1000.1c.col,1000,485090,1,167,
r1000.5.col,1000,238267,1,160,
